from,to,relationship,rank,agency,category,worth
Fuerstner,FSV,2,18,FSV,rusty,nothing
Barreiro,PROProfil,1,18,PROProfil,young,cheap
Barreiro,FSV,2,18,FSV,young,cheap
Kohr,Sports360,1,18,Sports360,mid,low
Kohr,FSV,2,18,FSV,mid,low
Fernandes,IFM,1,18,IFM,mid,low
Fernandes,FSV,2,18,FSV,mid,low
Papela,PROProfil,1,18,PROProfil,young,nothing
Papela,FSV,2,18,FSV,young,nothing
Shabani,ASBW,1,18,ASBW,teen,nothing
Shabani,FSV,2,18,FSV,teen,nothing
Rupil,Unique,1,18,Unique,teen,nothing
Rupil,FSV,2,18,FSV,teen,nothing
Boetius,ICMStellar,1,18,ICMStellar,mid,low
Boetius,FSV,2,18,FSV,mid,low
LeeJ,Unique,1,18,Unique,old,low
LeeJ,FSV,2,18,FSV,old,low
Stoeger,Wasserman,1,18,Wasserman,mid,low
Stoeger,FSV,2,18,FSV,mid,low
Burgzorg,PURE,1,18,PURE,young,low
Burgzorg,FSV,2,18,FSV,young,low
Bobzien,ASBW,1,18,ASBW,teen,nothing
Bobzien,FSV,2,18,FSV,teen,nothing
Nebel,PROProfil,1,18,PROProfil,teen,low
Nebel,FSV,2,18,FSV,teen,low
Mizuta,DR RMB Sports,1,18,DR RMB Sports,young,nothing
Mizuta,FSV,2,18,FSV,young,nothing
Burkhardt,PROProfil,1,18,PROProfil,young,cheap
Burkhardt,FSV,2,18,FSV,young,cheap
Onisiwo,ROOF,1,18,ROOF,old,low
Onisiwo,FSV,2,18,FSV,old,low
Ingvartsen,PIS,1,18,PIS,mid,low
Ingvartsen,FSV,2,18,FSV,mid,low
Szalai,Fischer,1,18,Fischer,rusty,nothing
Szalai,FSV,2,18,FSV,rusty,nothing
Roesch,PF,1,18,PF,young,nothing
Roesch,FSV,2,18,FSV,young,nothing
Baumann,CN,1,19,CN,old,low
Baumann,TSG,2,19,TSG,old,low
Pentke,Bigpoint,1,19,Bigpoint,rusty,nothing
Pentke,TSG,2,19,TSG,rusty,nothing
PhilippL,none,1,19,none,young,nothing
PhilippL,TSG,2,19,TSG,young,nothing
Noll,VIDA,1,19,VIDA,young,nothing
Noll,TSG,2,19,TSG,young,nothing
Posch,ICMStellar,1,19,ICMStellar,mid,cheap
Posch,TSG,2,19,TSG,mid,cheap
Akpoguma,Unique,1,19,Unique,mid,cheap
Akpoguma,TSG,2,19,TSG,mid,cheap
Vogt,ROOF,1,19,ROOF,old,low
Vogt,TSG,2,19,TSG,old,low
Che,ICMStellar,1,19,ICMStellar,teen,low
